Author,who,the,of,he,him,her,unto,me,to,will,ye,that,be,in,which,shall,lord,have,thou,hast,and,according,as,them,there,is,no,whither,we,also,for,not,it,therefore,my,said,must,by,now,do,with,thy,because,his,thee,are,our,upon,from,may,forth,these,many,been,thine,they,but,out,all,whatsoever,man,lest,should,had,thyself,yea,god,let,what,into,among,whom,whereby,hath,much,an,their,did,wherefore,if,then,say,those,was,or,again,every,whosoever,shalt,more,your,other,make,when,neither,such,were,could,than,seest,cometh,one,thereof,how,thus,would,henceforth,being,doeth,without,whoso,like,ought,himself,yet,seemeth,notwithstanding,whose,ever,wherein,soever,some,where,anything,each,thereby,till,became,throughout,thence,inasmuch,didst,whence,therein,oft,wherewith,moreover,becometh,whereof,shouldst,once,verily,thereon,hence,upwards,whereon,wherewithal,abundance,wheresoever,outward,upward,therewith,e_percentage_use,t_percentage_use,h_percentage_use,r_percentage_use,w_percentage_use,o_percentage_use,c_percentage_use,a_percentage_use,n_percentage_use,s_percentage_use,d_percentage_use,b_percentage_use,f_percentage_use,m_percentage_use,y_percentage_use,i_percentage_use,z_percentage_use,l_percentage_use,p_percentage_use,g_percentage_use,v_percentage_use,u_percentage_use,k_percentage_use,q_percentage_use,j_percentage_use,̢_percentage_use,x_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
moroni,101.0,1896,1211,444.0,145.0,8.0,394.0,78.0,578,102.0,206.0,673,249.0,407,242.0,240.0,214.0,178.0,61.0,31.0,1712,30.0,76.0,194.0,100.0,151.0,59.0,7.0,56.0,100.0,255.0,230.0,343,28.0,115,46.0,25.0,154.0,70.0,68.0,125.0,31.0,75.0,270.0,27.0,109.0,43.0,138.0,90.0,79.0,58.0,69.0,60.0,44.0,1.0,420.0,78.0,41.0,209.0,14.0,61.0,10.0,100.0,138.0,3.0,50.0,161.0,7.0,9.0,36.0,40.0,15.0,3.0,58.0,7.0,35.0,144.0,249.0,102.0,83.0,24.0,24.0,19.0,164.0,40.0,68.0,27.0,1.0,7.0,27.0,45.0,13.0,14.0,78.0,29.0,12.0,148.0,31.0,11.0,1.0,23.0,34.0,21.0,11.0,16.0,64.0,2.0,21.0,3.0,10.0,16.0,19.0,1.0,25.0,8.0,2.0,3.0,8.0,1.0,1.0,1.0,5.0,7.0,2.0,1.0,3.0,3.0,17.0,4.0,1.0,1.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12880271347646688,0.09620428001958178,0.08472620462969438,0.05685712287572558,0.021155325547241064,0.07614168822994614,0.020097559269879012,0.07728687320791663,0.06452374291908525,0.04931288901321771,0.049846143086929154,0.014738792922582,0.025237778865654942,0.026680187425694106,0.018270508427162737,0.05531855374501713,0.0005070284635289181,0.03546576683684174,0.015140918945380796,0.016574585635359115,0.00824358346737534,0.022046996293447096,0.0050528008951674945,0.00029722358206867613,0.0017745996223512133,0.00041960976292048394,0.0008567032659626547,27761,4.120600842909117,37.65400271370421,15693.971580180438
mormon,899.0,12018,7411,2020.0,745.0,47.0,2157.0,428.0,4633,658.0,1409.0,4542,1449.0,2389,1363.0,1158.0,727.0,1078.0,356.0,71.0,10504,349.0,720.0,1874.0,577.0,817.0,299.0,16.0,681.0,669.0,1487.0,1476.0,1899,584.0,829,419.0,96.0,802.0,1005.0,452.0,1042.0,242.0,509.0,1509.0,156.0,706.0,545.0,649.0,636.0,307.0,391.0,485.0,508.0,547.0,27.0,3170.0,695.0,395.0,1145.0,50.0,298.0,47.0,812.0,1341.0,9.0,952.0,1053.0,77.0,132.0,488.0,447.0,124.0,19.0,259.0,154.0,259.0,2210.0,1424.0,11.0,423.0,144.0,388.0,385.0,1186.0,334.0,318.0,157.0,77.0,70.0,267.0,528.0,72.0,79.0,464.0,103.0,96.0,1625.0,214.0,95.0,5.0,61.0,281.0,52.0,97.0,392.0,429.0,8.0,197.0,17.0,38.0,18.0,38.0,30.0,90.0,62.0,3.0,48.0,43.0,24.0,6.0,0.0,60.0,29.0,11.0,4.0,34.0,15.0,70.0,55.0,9.0,14.0,15.0,10.0,3.0,11.0,13.0,15.0,8.0,6.0,6.0,17.0,75.0,1.0,2.0,1.0,1.0,1.0,8.0,1.0,2.0,0.0,0.0,0.1248659855528878,0.09410233220617131,0.0790836830717982,0.04912121356774519,0.021135255572485204,0.07335412196830615,0.019292919779693794,0.08403528305270397,0.06798451302601073,0.05281749651336661,0.04825810247154249,0.013968466126437389,0.021571326649490456,0.02961283855177957,0.01995218699966327,0.05685824980679987,0.0005431536195834618,0.03713958015902403,0.016035288213308425,0.016641659237546493,0.008153755049328928,0.02382135019474831,0.0050883559991381794,0.00041671881027424744,0.0014965752938641704,0.00047606576158265416,0.0008256967138560939,185375,4.181270397842212,38.22148896679728,104404.96665217399
abinadom,0.0,9,6,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,3,0.0,1,3.0,0.0,0.0,1.0,0.0,0.0,6,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,3,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13176470588235295,0.08705882352941176,0.08,0.03764705882352941,0.03058823529411765,0.07058823529411765,0.03058823529411765,0.07764705882352942,0.09411764705882353,0.04941176470588235,0.03764705882352941,0.018823529411764704,0.023529411764705882,0.03294117647058824,0.01411764705882353,0.08,0.0,0.023529411764705882,0.023529411764705882,0.009411764705882352,0.011764705882352941,0.007058823529411765,0.009411764705882352,0.0,0.0,0.0,0.0,100,4.25,50.0,52.98117647058823
nephi,188.0,4347,2611,610.0,230.0,24.0,878.0,296.0,997,284.0,308.0,1321,712.0,722,493.0,1011.0,527.0,393.0,160.0,36.0,3307,108.0,206.0,463.0,121.0,355.0,100.0,8.0,220.0,230.0,636.0,400.0,618,41.0,625,128.0,103.0,202.0,112.0,96.0,293.0,182.0,167.0,390.0,91.0,301.0,163.0,246.0,242.0,82.0,115.0,134.0,137.0,110.0,12.0,761.0,165.0,132.0,366.0,4.0,85.0,12.0,216.0,211.0,2.0,205.0,379.0,25.0,27.0,113.0,81.0,40.0,4.0,176.0,37.0,69.0,379.0,275.0,235.0,115.0,47.0,86.0,64.0,182.0,51.0,72.0,39.0,0.0,29.0,61.0,76.0,61.0,75.0,79.0,48.0,5.0,202.0,25.0,14.0,5.0,34.0,124.0,36.0,27.0,55.0,89.0,4.0,30.0,5.0,16.0,8.0,69.0,2.0,34.0,18.0,1.0,12.0,16.0,8.0,3.0,0.0,5.0,8.0,3.0,1.0,0.0,3.0,5.0,0.0,0.0,14.0,1.0,9.0,6.0,2.0,3.0,3.0,0.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,2.0,0.12848960560852685,0.09011128162553356,0.08040873145655655,0.04981257390123022,0.02061687086467584,0.07106677736127534,0.017153471366155963,0.07656796397393645,0.06971244559611563,0.05361141160783919,0.046152104455458,0.014591562051875518,0.025753268426040067,0.02418509480322356,0.01864197841455131,0.05366592031665367,0.00038575393930245625,0.04127567150536282,0.014335790418207586,0.01561464858654725,0.007803131315672512,0.022767868374047148,0.0063481680880860735,0.0002599646112690466,0.0017526646372655076,0.0004360696705158201,0.0005157362449369796,59831,3.9861275927194932,35.28731563421829,32896.952036529234
amaleki,6.0,76,49,6.0,6.0,0.0,9.0,0.0,23,2.0,2.0,16,5.0,18,6.0,1.0,11.0,3.0,0.0,0.0,70,3.0,7.0,11.0,5.0,5.0,2.0,0.0,0.0,5.0,4.0,2.0,11,0.0,3,0.0,0.0,7.0,3.0,0.0,7.0,0.0,1.0,13.0,0.0,4.0,0.0,1.0,6.0,0.0,1.0,3.0,4.0,0.0,0.0,20.0,3.0,6.0,3.0,0.0,3.0,0.0,4.0,10.0,0.0,2.0,3.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,2.0,3.0,7.0,6.0,3.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12212432697014194,0.08247674987763093,0.07097405775819873,0.04772393538913363,0.020802741067058247,0.07953989231522271,0.020802741067058247,0.09006363191385218,0.08027410670582477,0.04772393538913363,0.05531081742535487,0.01346059716103769,0.021047479197258932,0.03401860009789525,0.0149290259422418,0.06461086637298091,0.002936857562408223,0.03622124326970142,0.016397454723445913,0.020558002936857563,0.008565834557023984,0.020068526676456193,0.005873715124816446,0.0,0.0034263338228095936,0.0002447381302006853,0.0007342143906020558,957,4.269592476489028,50.36842105263158,535.9809104258444
amaron,0.0,13,7,4.0,0.0,0.0,2.0,0.0,2,1.0,2.0,5,1.0,3,2.0,1.0,2.0,0.0,0.0,0.0,6,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,2,0.0,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1361031518624642,0.09742120343839542,0.08022922636103152,0.06017191977077364,0.022922636103151862,0.07020057306590258,0.011461318051575931,0.06446991404011461,0.06160458452722063,0.054441260744985676,0.05873925501432665,0.0071633237822349575,0.02865329512893983,0.03868194842406877,0.017191977077363897,0.06160458452722063,0.0,0.03008595988538682,0.02005730659025788,0.008595988538681949,0.01002865329512894,0.024355300859598854,0.0071633237822349575,0.0,0.0028653295128939827,0.0,0.0,166,4.204819277108434,27.666666666666668,95.97421203438392
chemish,0.0,5,1,4.0,0.0,0.0,1.0,1.0,1,0.0,0.0,2,0.0,2,1.0,0.0,0.0,0.0,0.0,0.0,3,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,3,0.0,1,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12878787878787878,0.11363636363636363,0.09848484848484848,0.06439393939393939,0.05303030303030303,0.07196969696969698,0.022727272727272728,0.06818181818181818,0.06818181818181818,0.041666666666666664,0.045454545454545456,0.011363636363636364,0.022727272727272728,0.041666666666666664,0.007575757575757576,0.08333333333333333,0.0,0.011363636363636364,0.003787878787878788,0.007575757575757576,0.003787878787878788,0.007575757575757576,0.011363636363636364,0.0,0.0,0.0,0.0,71,3.7183098591549295,71.0,39.98863636363635
enos,0.0,64,42,10.0,6.0,0.0,22.0,10.0,26,6.0,4.0,25,13.0,27,7.0,9.0,8.0,5.0,2.0,1.0,88,6.0,1.0,11.0,5.0,5.0,0.0,0.0,0.0,4.0,11.0,3.0,22,0.0,25,6.0,2.0,4.0,3.0,1.0,7.0,8.0,2.0,4.0,3.0,1.0,6.0,3.0,2.0,0.0,2.0,4.0,5.0,1.0,1.0,6.0,1.0,1.0,7.0,1.0,0.0,0.0,3.0,10.0,0.0,1.0,10.0,0.0,0.0,3.0,2.0,1.0,0.0,1.0,0.0,1.0,11.0,8.0,6.0,3.0,1.0,2.0,0.0,12.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12215113954418233,0.08536585365853659,0.0661735305877649,0.052179128348660536,0.021591363454618154,0.07277089164334266,0.018392642942822873,0.07756897241103558,0.07976809276289484,0.059976009596161534,0.05317872850859656,0.012195121951219513,0.023190723710515795,0.023990403838464614,0.02039184326269492,0.06957217113154739,0.0,0.03618552578968413,0.01599360255897641,0.019792083166733306,0.0075969612155137945,0.02179128348660536,0.004598160735705718,0.00039984006397441024,0.0011995201919232307,0.0011995201919232307,0.0009996001599360256,1222,4.0932896890343695,37.03030303030303,651.9682127149141
jacob,12.0,719,397,76.0,26.0,0.0,165.0,50.0,177,65.0,74.0,251,68.0,115,90.0,61.0,66.0,113.0,19.0,0.0,549,25.0,26.0,72.0,11.0,40.0,12.0,1.0,45.0,31.0,96.0,73.0,159,1.0,84,46.0,17.0,23.0,28.0,16.0,36.0,5.0,40.0,71.0,8.0,41.0,27.0,33.0,23.0,45.0,41.0,40.0,24.0,20.0,0.0,90.0,37.0,10.0,40.0,1.0,11.0,4.0,33.0,46.0,0.0,13.0,56.0,14.0,8.0,33.0,7.0,1.0,0.0,20.0,27.0,5.0,54.0,18.0,52.0,19.0,6.0,7.0,9.0,27.0,10.0,17.0,2.0,0.0,0.0,14.0,43.0,7.0,4.0,7.0,3.0,3.0,27.0,8.0,9.0,0.0,8.0,8.0,38.0,9.0,10.0,15.0,0.0,5.0,0.0,0.0,1.0,13.0,1.0,3.0,6.0,0.0,4.0,7.0,3.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1205142070592862,0.09492675253170779,0.07673778389538885,0.054984760593845244,0.0195162717530233,0.08005604168714973,0.02752924982794219,0.07958902762756857,0.06353849179038443,0.04950349031560319,0.04517746534264084,0.02290826860682332,0.024481368596991446,0.022392095172549406,0.01936879362894504,0.05714777308032642,9.831874938550782e-05,0.032789302920066855,0.015952217087798645,0.016345492085340675,0.011429554616065284,0.026128207649198702,0.00484219840723626,0.00031953593550290043,0.007718021826762364,0.00022121718611739258,0.00046701405958116213,9701,4.193794454179981,36.870722433460074,5302.974682922034
jarom,1.0,71,44,2.0,1.0,0.0,7.0,1.0,19,1.0,3.0,10,6.0,11,4.0,2.0,5.0,5.0,0.0,0.0,56,5.0,7.0,8.0,1.0,2.0,0.0,0.0,2.0,2.0,10.0,9.0,7,0.0,8,0.0,1.0,1.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0,7.0,9.0,4.0,3.0,2.0,0.0,3.0,4.0,0.0,0.0,19.0,5.0,1.0,4.0,1.0,0.0,0.0,3.0,3.0,0.0,1.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,6.0,7.0,3.0,1.0,0.0,1.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12310030395136778,0.09483282674772037,0.06747720364741641,0.057750759878419454,0.019148936170212766,0.07537993920972644,0.020972644376899698,0.08449848024316109,0.07264437689969605,0.051367781155015196,0.052279635258358666,0.011246200607902736,0.029787234042553193,0.03221884498480243,0.02066869300911854,0.05319148936170213,0.0,0.03282674772036474,0.022188449848024316,0.015197568389057751,0.006686930091185411,0.018541033434650456,0.005775075987841946,0.00030395136778115504,0.005775075987841946,0.0006079027355623101,0.0024316109422492403,763,4.3119266055045875,47.6875,444.9768996960487
omni,0.0,8,6,0.0,0.0,0.0,0.0,0.0,6,0.0,1.0,5,0.0,2,0.0,0.0,1.0,2.0,0.0,0.0,14,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2,0.0,5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11669128508124077,0.0827178729689808,0.0620384047267356,0.03692762186115214,0.023633677991137372,0.07828655834564253,0.01624815361890694,0.103397341211226,0.07828655834564253,0.06499261447562776,0.06646971935007386,0.008862629246676515,0.022156573116691284,0.04874446085672083,0.028064992614475627,0.04874446085672083,0.0,0.022156573116691284,0.023633677991137372,0.011816838995568686,0.007385524372230428,0.0206794682422452,0.007385524372230428,0.0,0.0014771048744460858,0.0014771048744460858,0.0014771048744460858,166,4.078313253012048,55.333333333333336,87.98375184638107
